PersonKey,Account.FirstName,Account.LastName,Account.Biography,Account.Photo
,,,,
3fefdd99-4bb8-4e7e-87b0-000ec6969383,Fabio,Molin,,
e04a5f73-9964-4762-b11d-0010ad690283,Karch,Smith,Current orthopaedic resident at UC San Diego with a background in shoulder and elbow research and a current interest in pursuing shoulder and elbow vs. sports medicine for fellowship training. ,
e2fe3acb-7cfc-40d5-a286-001232f2a953,Charbel,Issa,,
122264d6-24a0-4d5b-8884-001a3e10e81b,Richard,Peluso,,
7e51cefd-bceb-4d03-81ca-004c5a1ea008,Nicholas,Morriss,,
a79f0f2a-cf10-4e54-83fc-005499cb3a29,Terry,Axelrod,,
e6c859c0-7217-4b28-9036-0058acbeef80,Mayek ,Gupta,,
a1e518ad-bba5-4d92-9650-0066d45abcad,Antonio,Madrazo-Ibarra,,
d73dfff1-aa92-48d0-be5b-006b09b17114,Jason,Hsu,,
e8333547-ccae-4f06-bda1-0079668bd9cb,John,Ranson,,
a84940cd-667c-423c-8da1-007f884ede2c,Qihuang,Qin,"Dr. Qihuang Qin is an orthopedic surgeon specializing in shoulder surgery and sports medicine at Beijing Jishuitan Hospital, China. His academic work focuses on clinical and basic research, with particular interests in shoulder instability, rotator cuff disorders, and osteochondral lesions.",https://files.abstractsonline.com/assocphotos/2656/a84940cd-667c-423c-8da1-007f884ede2c.profile.jpg
49f0e6cf-8799-4f3b-aad3-00833c85e468,Austin,Witt,,
e4b22de6-26fb-4df5-87b8-0094436076c3,Blake,Hajek,,
e88307d6-2966-4cc0-835a-009fcb031d2e,Jason,Ho,"Staff Shoulder & Elbow Surgeon - Cleveland Clinic, Assistant Professor of Orthopedic Surgery - Cleveland Clinic Lerner College of Medicine of Case Western Reserve University, specializing in primary and revision shoulder and elbow surgery",
206cc31b-51f2-42c5-a475-00a9a2dbf8cf,Blaine,Sophia,,
226fda19-a99f-4888-b7ce-00ab35d24866,Kevin,Heo,,
00156865-bff1-41be-9942-00cfbe35e5f6,Isabella,Capin,,
53d09d0c-acf5-4f7b-81c1-00e249e5e828,Charles,Gallagher,,
5fe68e26-e668-4ff9-bed6-013e4edd07a4,Ram,Yaron,,
cdc33991-dbbd-41ba-a9bf-013fbca8ffcc,Pearce,Haldeman,,
33ecd1e1-2f98-475f-bafd-01561f7b107c,Joo,Sunwoo,,
8f386628-d77f-4507-ad6e-0159bf537303,Madeleine,Orringer,,
098aeded-a8c6-4f2a-8e4f-017144754637,Toavs,Trevor,,
6a1033ae-bed2-48f8-95cd-01a4f2233cd4,Darren,Drosdowech,,
6b97c7cb-0c7d-41d5-b10e-01ac5cd3221e,Haluk,Yaka,,
e899b3f7-2be0-405b-9d0c-01b2316d0942,Graham,Kerr,,
e19298ee-b87c-4e85-8a4a-01c9fb0f3134,GUILHERME,AZEVEDO,,
e24a66b8-6150-4b7b-b64a-01ca612a07a4,Sven,Benken,,
cd739ca4-ba1d-4e13-9235-01cd0eb7280f,Matthew,McKinley,,
25ba3ac0-7957-4e3b-9b67-01d3bdaff470,Kenny,Chang,,
531b88a1-b770-421f-bd93-01dee80c7577,Andrea,Palazzolo Ray,,
73fe5b51-5534-4071-b17a-01dfafd4d117,Tiago,Martinho,,
1328e599-cf4a-4076-8c07-01e3282f6f3c,Tae Kang,Lim,,
f7c3b4a7-10f3-4548-821a-01e458c33448,Jesus,Davila,,
951280a0-155f-4fd8-b03f-01e597274391,Marina,Hitz,,
76d65615-eb61-4925-8652-02136abae893,Joaquin,Sarmiento,,
da82f5e9-6e12-4d85-8b0f-0224c5b1be1e,Greg,Nicholson,,
e3ac1b68-f2af-4fa8-9b8e-022eefdfe5f3,Danielle,Dagher,,
09946c7e-f086-4ac4-859d-0239369c720c,Max,Sullivan,,
db8f332b-8045-40ff-b6f5-02440bad3af0,Amit,Modi,,
7eb49c1e-095d-47b9-85ff-02664faf932e,Grzegorz,Slota,,
0384e3e0-b186-431e-af22-028043e7787e,Jarret,Weinrich,,
d866a712-3587-4661-9f65-02840098a342,Ramakanth,Rajagopalakrishnan,,
f3b3e51f-a163-40f2-8bf4-0295653fe08e,Samuel,Rosenberg,,
fd4f2256-0231-40c6-8948-02a42296e7be,Patrick,Carroll,,
e69caf57-7242-4b09-9585-02a8fe615993,Jasraj,Raghuwanshi,Orthopaedic Research FellowMusculoskeletal Education and Research Center (MERC)Carilion Clinic Department of Orthopaedics,
ce855ff8-3c7a-49b1-b5e2-02afff1dba59,Azadeh,Ghouchani,,
ee9146b9-f050-43a4-b5b0-02b40ba0fcc3,Robert,Reis,,
c68e194c-04e8-42f9-a208-02e088e8820e,Yves,Schäfer,,
639b2f2f-4a08-4da8-8ace-0303f6b4e93d,Vidushan,Nadarajah,,
57a3fe95-4d2a-4dbb-9fe1-03051fc3169f,Victor,Cardona Pérez,,
b7edc5f0-b3a8-4092-ab4f-0308dfe9e4e6,Victor,Martinez,,
8658de9f-f6bc-444f-ac4a-030ce1059444,Jan-Philipp,Imiolczyk,,
72879d9d-b2aa-4907-a57b-032a7326ad67,John,Dibato,,
7b73cc7a-6d06-4fcb-a00e-0337a685c566,Hunter,Gutting,,
72432c0b-798e-4475-ac70-0338e86b1a09,marius,espag,,
0f56cbf1-ab3e-4f13-9a83-035d07502c87,Patrick,Castle,,
825278ae-5af3-46ec-b7be-03859b540bd7,Anish,Gangavaram,,
b32caf6b-dc7e-4749-ad56-038aa6c2e043,Daniel,You,,https://files.abstractsonline.com/assocphotos/2656/b32caf6b-dc7e-4749-ad56-038aa6c2e043.profile.jpg
0beb1814-2684-4208-8a7b-038bcb97831c,Heinz,Redl,,
87314626-e87e-43d9-a94c-03a09f681534,Elena,Montgomery,,
a85477ff-bab3-4f3e-b3d4-03aa3491d484,Kentaro,Ise,,
c1d5188d-4f34-43ae-9c31-03b63b037993,Cemil,Gedik,,
12dc79d2-6dab-47ab-9725-03b7f47d7c8c,John,Moore,,
a0894240-18f9-4231-9a56-03bdae5324fe,Michael,Fu,,
1468ddae-5d61-4219-abb4-03bdb62de07a,Benjamin,Brej,,
84c878d5-e4db-46a4-801d-03df291f5a4f,Julian,Wier,,
3430447c-36f0-43df-bb9c-03e949554bba,Samuel,Taylor,,
d0003807-2cba-49cb-8493-03e9ab2c9c9c,Jorge,Ascencio Aragon,,
acd81eba-87b4-4d87-bb36-03fc7fbe61c9,Subhasis,Basu,,
ea4ac3c7-9528-4acd-b146-04060eba15ed,Sai Prasada Rao,Manikonda,,
072c7d4a-8e10-4bc9-8df1-040c50352bf0,Marcus,Lee,,
a1bd070c-5706-45f0-9cb5-042ac9957e45,Michael,Hajjar,,
f551495f-2414-49a9-85bd-042c740bd5d3,Luís,Gomez-Vieira,,
38d34547-249f-45d4-b2d0-042d6f080894,Megan,Anderson,,
89cb8b54-616b-418d-9343-043cc65c2686,Alberto,Rivera Rosado,"Fellow 2009-2010 Plancher Orthopedics and Sports Medicine, Past President Puerto Rico Orthopedic Society, Founder and Past President Puerto Rico Shoulder and Elbow Society, Associate Professor Ponce School of Medicine, 1st Vice- President  Latin American Shoulder and Elbow Society",https://files.abstractsonline.com/assocphotos/2656/89cb8b54-616b-418d-9343-043cc65c2686.profile.jpg
8d66def8-cde7-4f12-ae11-043cf03841e6,Labib,Syed,,
ddf329b9-2d9c-4d0e-8cb0-04469a24f334,Yasutaka,Yoshimura,,
552f7179-806c-4f60-9e92-044b81cdfba0,Andrew,Davies,"Mr Andrew Davies is a Trauma and Orthopaedic surgery trainee (ST8) in London, U.K., with a PhD from Imperial College London and FRCS (Tr Orth). His main research focus is shoulder arthroplasty and outcomes of the National Joint Registry. He represented the Great Britain Age Group Triathlon Team in 2022.",https://files.abstractsonline.com/assocphotos/2656/552f7179-806c-4f60-9e92-044b81cdfba0.profile.jpeg
ea28c73a-b71e-4e9b-8d6b-048fd07150e7,Bo taek,Kim,,
1f0d2134-f0a3-4e49-9e7a-04a4002466ab,Lydia,Hetznecker,,
1de39387-8e45-4e41-9ccc-04b060596924,Noah,DiNapoli,,
2f23eb4c-e591-4ab0-901e-04b71ae1a81d,Camilo,Hernandez Joya,,
94e81ffd-031f-469c-8dc4-04bd6ade18bb,Ty,Agaisse,,
24bb4443-3c12-4cb6-b519-04ced3125096,Euan,Stubbs,,
4e3655bf-d0ee-42c8-8355-04d8c5e012be,Renato,Andrade,,
7c166394-8e73-4349-9e3c-04dc37becdde,Ayomide Michael,Ade-Conde,,
020b8803-8a39-4fdd-939d-04e0f17f670f,Rachel,Price,,
0d5c2acc-021d-4b68-a38b-04f1bf41b23b,Alexandre,Hardy,,
2ea2f202-28ba-4f24-b8a9-04f4f05c1c12,Emi,Mizushima,,
a160bc8e-a136-4d05-90d8-04f57e429b50,Moeed,Akbar,,
addba425-8214-4075-8ec5-0502b9115cae,Ermyas,Kahsai,,
3586e980-bac2-4035-82a1-05050dc026f7,Katsuhiko,Maezawa,,
7d835848-151f-4bf4-b11f-0513178c6e77,Steven,Grindel,,
c776ffa7-f859-4bdb-a80e-05270b5a70f6,Piotr,Lukasiewicz,,
0cb50a23-2da4-4f34-9099-053364d1b2d0,David,DeWitt,,
8db851df-4588-4e84-b443-053b213bd48f,Eddie,Lo,,
4aa63c36-86c2-4966-aa44-0550d56558fe,María Jesús,Lira,,
0011525c-1e95-41d5-95ba-05577a9c48ad,Gloria,Coden,,
fb9df38d-3c2e-4175-b5c9-055ce1c401d7,Cristobal,Lopez,,
f85191e1-d892-4b1a-81b2-0582a70a79fa,Stefan,Guiloff,,
79280563-446b-4e77-906b-0582ffeca464,Burhan,Mirza,,https://files.abstractsonline.com/assocphotos/2656/79280563-446b-4e77-906b-0582ffeca464.profile.jpg
7db0eba5-546a-4558-bc29-058441801ecc,Kevin,Valdes,,
da764de7-1557-488a-a7fd-058a1557095c,Angela,Kedgley,,
aafeabe0-2b42-4621-bbc9-059b4ed7f40d,Jonah,Hammerstedt,,
d5350b86-21a0-46da-ba6b-059ee8aed22b,Young-Min,Kwon,,
3f9755a3-1eaa-49e9-99be-05bacf181db2,Kevin,Eng,,
c2f090a5-465b-4b87-96c3-05c3501c8535,Hady,Ezzeddine,,
05edce98-9af8-4118-b029-05c77e3f4f01,Aron ,Kuroiwa,,
65d943ed-1e48-46af-a8e2-05d0de74b890,Jonathan,Barlow,,
988da4b2-6008-4922-867b-05e22dd0ffc8,Yuxuan,Jin,,
645a93ec-af4c-4510-84ff-05e393923617,Linda,Zhang,,
3965df75-48b7-465a-8973-05e4998ac3fe,Luc,Petitclerc,,
918a24c7-ccef-4b5b-899a-05f2171e95e7,Dominic,Farronato,,
2ba31f59-bf60-4ac9-bfbe-05f6c153d61d,Lana,Smith,,
98eb73a6-4514-4dec-9798-05fe4381925d,Ali,Kiapour,,
27cb515c-0476-4beb-b396-05ffeb25ce02,Brienna,Buchanan,,
487fb791-a4ed-4f5b-a0ae-0636228f8d3c,Alec,Riehl,,
e1d59308-5ea9-4983-a19a-0639be54f654,Nicholas,Trasolini,,
5af1157e-5a7c-45ea-9a34-063fd4b9cd29,Ayomide,Ade-Conde,,
a47a3d1c-523f-4319-8ffa-06442e9e4501,Olivia ,O'Malley,Ms O'Malley is a Trauma & Orthopaedic Specialist Registrar and is currently completing her PhD at Imperial College London focusing on the clinical and patient outcomes associated with the increasing use of Reverse Shoulder Arthroplasty. ,https://files.abstractsonline.com/assocphotos/2656/a47a3d1c-523f-4319-8ffa-06442e9e4501.profile.png
3aced1bb-3a59-4e26-a2d7-064b407fae48,Christopher,Bayne,,https://files.abstractsonline.com/assocphotos/2656/3aced1bb-3a59-4e26-a2d7-064b407fae48.profile.png
b66b625c-fdc7-44a9-996f-068119336205,Raahil,Patel,,https://files.abstractsonline.com/assocphotos/2656/b66b625c-fdc7-44a9-996f-068119336205.profile.jpeg
0ab24a36-70d9-4017-9ed5-068d51df35d0,Yuichiro,Miura,,
6be0b852-6bbf-4493-b061-068d784af4ff,Maika,YAMAMOTO,,
7c6247de-5a0e-4ed5-ab5c-068df150ee6a,Noel,Carlos,,
2cf9b21a-23fc-4e2f-8748-068ee4ec01ba,Ansaba,Naseer,,
b37a3b01-9c4e-4dad-8f53-069c6f29c4d1,Ryan,Bicknell,"Dr. Bicknell is an Associate Professor of Surgery and Mechanical and Materials Engineering at Queen’s University with a clinical interest in shoulder and elbow reconstruction, arthroplasty, arthroscopy and sports injuries.  He is also the Paul B. Helliwell Chair in Orthopaedic Research. His research interests include arthroplasty design, biomechanics, computer-assisted surgery and clinical outcome studies.  Dr. Bicknell completed subspecialty training in shoulder and elbow surgery in Sydney, Australia, Nice and Lyon, France, and Seattle, Washington. He is currently a member of the American Shoulder and Elbow Surgeons (ASES), the European Society for Surgery of the Shoulder and Elbow (SECEC) and the Canadian Shoulder and Elbow Society (CSES).",https://files.abstractsonline.com/assocphotos/2656/b37a3b01-9c4e-4dad-8f53-069c6f29c4d1.profile.jpg
234ec2cf-c605-42d0-baf3-06bb52ef1735,Ruth,Delaney,,https://files.abstractsonline.com/assocphotos/2656/234ec2cf-c605-42d0-baf3-06bb52ef1735.profile.JPG
c051feb2-191f-4c08-b59a-06d061b3704b,Lauren,Wessel,,
79b14ede-2235-45cc-b4a6-06dda5a9d214,Daniel,Donato,,
55812092-4656-4ac4-9fcc-06e12195256f,Takayuki,Kawasaki,,
204972f1-2dbc-44ce-a4eb-06e7620a563d,Justin,Givens,,
86a544e9-43a1-4c7b-afac-06f64202a13c,Andrew ,Zhou,NIHR academic resident in Trauma and Orthopaedic Surgery | Cambridge University Medical Graduate ,
3f11673e-7e6c-48a9-ab11-07114bc035ec,Ben,Langley,,
9c029edf-c0f6-4eb6-9691-071e41157583,André,Godinho,,
6f3063a2-563e-4535-8efa-07276ad71207,Mark,Dillon,,
6614d0d0-14a2-4959-aefe-0744b33b723d,Matthew,Karam,,
7f9bc314-98f9-456b-b822-074a4d0d5164,Daniel,Park,,
208a9530-9413-4584-88a3-075f007c9ae2,James,Friedman,,
ace71d1b-b779-43a1-90f8-075ff02a07b5,Sadhbh,McCay,,
abcde95f-67f2-476d-98fd-078acd59cc79,Tomoshige,Tamaki,,
a9365829-d4de-4e41-850d-07a3c7082278,Scott,Brunet,,
10bf0421-e270-44d6-9654-07a5b7af1079,Kaja,Leslie,,
7610a9d3-c1b1-4628-8c40-07ab17ff8de1,James,Richard,,
74fb1a7e-24df-4461-a09e-07b95fca3d73,Ronak,Mahatme,,
46300f67-9063-4562-90cb-07c5d38ba772,Arun,Prashanth,,
ba819f96-cc01-47ce-87cf-07cfe79ee134,Ryosuke,Ozawa,"I am a radiologic technologist in Japan with a particular focus on the shoulder. My research interests include CT- and MRI-based assessment of the rotator cuff and deltoid muscle, as well as imaging evaluation of outcomes after reverse shoulder arthroplasty.",https://files.abstractsonline.com/assocphotos/2656/ba819f96-cc01-47ce-87cf-07cfe79ee134.profile.jpg
af7a2cd6-a8d4-4ecc-9487-07d86c8db42e,Stephan,Pill,,
bbda647c-dfe2-4c77-88b2-07e4972eca03,Elizabeth,Hebert,,
5e6577ff-fcf9-4e9d-9fa6-08109e66fd7d,Silvampatti,Sundararajan,,
e394c98a-ade5-441f-a6a6-081eb1347c42,Jean,Gaillard,,
ca11fa28-8dd3-4fe0-83e7-0825049bb854,Kelsey,Loyd,,
4203ba10-3762-4957-bdb7-084d7f4772c9,Panagiotis,Anastasopoulos,,
76a645a3-dd2d-4f88-9874-085701ee27c5,Alejandro,Benito,,
733adcd4-1b58-4198-a332-0862adffc4b2,Katherine,Burns,,
c14c5fc0-4ed7-4dd6-87fc-086af9bda289,Theodorakys,Marin Fermin,,
0e12a343-0ab1-4c8d-a1ac-086f3aa5a7da,Alex,Macfarlane,,
5bc13f97-522e-41be-bacd-087780658a3e,Tim,Schneller,,
9b0008e8-902f-4473-a1e7-087e6142ee80,Ioannis,Aifantis,,
14fadfa7-7860-48e5-8d6e-08807482a8d6,Eike,Martens,,
d1242676-a064-49f8-abb8-088785ba0f85,Chuck,Lam,,
9945df26-1bee-4937-9f4d-0898793bd537,Joshua,Taylor,,
d03f03a3-7b82-4860-8ca5-08a9576733f4,Umer,Nasir,,
65a44a11-a864-4fd0-bd36-08d2d04a93a8,Siddarth,Raj,,
dacf0f04-fbe3-4770-953f-08dd554fe39c,Perra,Razoky,,
27493e72-ac61-407d-974b-08e43aca07b4,Martina,Coppola,,
086d2625-1fbd-43b3-8bf8-08f578b82e2d,Christine,Silva,"Christine Maria Muniz Silva, MD, MSc, PhD*- Medical Doctor, Federal University of Ceará - Residency in Orthopedics and Traumatology, Dr. José Frota Institute - Board-Certified Specialist in Orthopedics and Traumatology, Brazilian Society of Orthopedics and Traumatology - Board-Certified Specialist in Shoulder and Elbow Surgery, Brazilian Society of Shoulder and Elbow Surgery - MSc in Medical-Surgical Sciences, Federal University of Ceará - PhD in Medical-Surgical Sciences, Federal University of Ceará - Residency Supervisor, Orthopedics and Traumatology, General Hospital of Fortaleza",
e23a513f-b4a6-48eb-a942-090cf3d006cf,Mazda,Farshad,,
5e018ff0-db2c-47aa-95be-09100639e86d,Andrew,Miller,,
301355ae-27a8-4a5a-8ab2-0938ff855721,Kristofer,Hallberg,,
28383526-4089-4eda-be5b-093f57e6974e,McFarland,Edward,,
16c61262-af90-4461-a31a-09714553f71d,Crystal,Yu,,
4db6cd74-a932-4367-bf5f-0978e98f617b,Neal,Millar,,
f32d7ecb-a3dc-42d3-afde-0985934576e3,Eric,Belzile,,
c0c7f933-ff21-4c07-bf3b-09aecc6a4456,Robert,Potra,,
425e6706-0585-4e3d-a5b8-09be6cd16720,Alberto,Izquierdo,,
96110a95-72a9-429b-bba8-09c0a15c8c67,Delaney,MacIntosh,,
1c890bd8-970b-4406-b520-09c414bef127,Anish,Gangavaram,,
f9d88ccb-5228-4af7-b491-09cf23cbea60,Christopher,Mehallo,,
60620d6b-ae77-4a25-8859-09da9919aebb,Cassandra,Lee,,
e5182f49-2028-41d5-9d8b-09ddb03530c2,Ulrich,Stockle,,
6b9682de-0e9a-44b9-beab-09e191ae8acf,David,Endell,,https://files.abstractsonline.com/assocphotos/2656/6b9682de-0e9a-44b9-beab-09e191ae8acf.profile.png
190430a3-2ecb-4380-9c7a-09e4aa5b3599,Piotr,Lukasiewicz,,
363b4601-fe07-48a1-995d-0a105a30e5bf,PIERRE,METAIS,Shoulder surgery; education and researchPast-president of the French Society of Shoulder and Elbow Surgery (SoFEC),
1949993a-04bb-4337-9ca0-0a18ea4dbbea,Michael,Anderson,,
0d9270d5-762c-4678-830c-0a1b8ada6d74,Anthony,Smyth,,
da39b3c7-e5bf-402b-bdd7-0a419221b254,Daniel,Acevedo,,
846b0f02-4ba2-42c0-b18a-0a4f910326e2,Hiroyuki,Kitagawa,,
1c4d588d-f362-4f84-9bd7-0a6c4b40396e,Hugo,Giambini,,
30e387a8-aa0d-4709-9afa-0a7308ecb038,Ling,Chen,,
50c37a08-4364-4d81-89f2-0a7c6fed4dc2,Harrison,Fellheimer,,
871a1263-7324-4af5-83ad-0a848d041e8b,Hanseok,Ko,,
c6feaddb-ff7f-48e0-8b06-0a86948d52ef,Dean,Ziegler,,
9082e124-36ae-4a3d-941c-0a99cf6a9b84,Joel,Peterson,,
39317359-7611-4930-8b93-0abbdacc7a8d,Antti,Joukainen,,
29affd0c-6834-4dc2-96e0-0ac544ef7615,Takahiro,Honda,,
1d8c74ba-d60c-46bd-883f-0ac5492ecb51,Andrew,Liu,,
5f3b4a93-08f1-4040-8a21-0ac55601fd72,Grant,Jones,,
44f2f3a4-feb6-42bc-81a4-0ad5f8daab42,marina ferreira borges alves ,alves,"EducationDoctor of Medicine (MD equivalent)Federal University of Pernambuco (UFPE), Brazil2006 – 2012Postgraduate TrainingResidency in Orthopedic Surgery and TraumatologyHospital Otávio de Freitas, Brazil2014 – 2017Fellowship (R4) in Shoulder and Elbow SurgeryShoulder Group, Clínica ARTHRO and Center for Trauma and Orthopedics (CTO), Real Hospital Português, BrazilMarch 2017 – March 2018Supervisor: Fabio Brandão, MDFull-time position (40 hours per week)Clinical ExperienceObservership in Shoulder and Elbow SurgeryOctober 2016 – November 2016Preceptor: Glaydson Godinho, MDInternational Observership in Shoulder and Elbow SurgeryPrinceton Orthopaedics, PA, New Jersey, USAOctober 2017Preceptor: Jeffrey S. Abrams, MDProfessional MembershipsBrazilian Society of Orthopedics and Traumatology (SBOT)Brazilian Society of Arthroscopy and Sports Traumatology (SBRATE)Professional ExperienceOrthopedic Surgeon – Shoulder and ElbowArthro Clínica, Recife, BrazilOrthopedic Surgeon – Shoulder and ElbowIncore, Recife, BrazilOrthopedic Surgeon – Shoulder and ElbowOrtocentro, Recife, BrazilTeaching and Academic ExperienceInstructor in shoulder and elbow surgery courses, including the Orthoserv Shoulder Course (Naples, Florida, USA) and Arthrex educational programs across South America and the United States",https://files.abstractsonline.com/assocphotos/2656/44f2f3a4-feb6-42bc-81a4-0ad5f8daab42.profile.JPG
73cec5bd-deb2-4651-aa5d-0ad88d4f14ee,Joo Han,Oh,"Professor, Dept. of Orthopedic Surg, Seoul National University College of MedicineFormer Chairman, Dept. of Orthopedic Surg, Seoul National University Bundang Hospital Chairman, Board of the Directors, The Korean Orthopaedic AssociationPresident, The Korean Orthopaedic Ultrasound SocietyFormer President, The Korean Shoulder and Elbow Society (2019. 4 ~ 2021. 3) Former President, The Korean Arthroscopy Association (2024. 10 ~ 2025. 10)Secretary General, 2016 13th International Congress of Shoulder Elbow SurgeonsNational Academy of Medicine of Korea, Active member since 2020. 1. 10Chairman of Medical Advisory CommitteeKorean Baseball OrganizationKorean Skating Organization Corresponding member of the Development Commission, FIMS (Fédération Internationale de Médecine du Sport, International Federation of Sports Medicine) since 2019Vice President and Executive member, AFSM (Asian Federation of Sports Medicine) since 2023. 01Board Member, APKASS (Asia-Pacific Knee, Arthroscopy and Sports Medicine Society since 2023. 06Basic Science Editor of JSESEditorial Board of AJSM Winner of 2013 & 2025 Charles S Neer Award by American Shoulder Elbow Surgeons NIRA Winner in 2016 Orthopaedic Research Society Award Winners for Excellence in Basic Science Research by Arthroscopy: The Journal of Arthroscopic and Related Surgery More than 240 SCI papers as a first / corresponding author17 Books as a main author or co-author or chapter author",https://files.abstractsonline.com/assocphotos/2656/73cec5bd-deb2-4651-aa5d-0ad88d4f14ee.profile.jpg
df2c7c32-c49b-409d-82f6-0ad88eee9549,Kenta,Takatsuji,,
4a13f7df-5585-4b53-baef-0ae57549cfb4,In wook,Yeo,,
60696914-769c-48cf-823b-0b03473b55f9,Aron,Kuroiwa,,
a27e49a0-0272-48b8-b9be-0b066113c4c0,Philipp,Streubel,,
1fe9405b-3528-4161-abc7-0b073c3144a8,Sai,Devana,,
